=== Tile Grid Scaling ===
=== Task btor ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C16_W24_H24_F8_N6_D4_S0_T600		TIMEOUT		---		0:10:01		---		0:00:51		---

=== Control Bit Scaling ===
=== Task btor ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C2_W2_H2_F8_N6_D4_S0_T600		PASS		PASS		0:00:03		0:00:02		0:00:03		0:00:02
I16_O16_C4_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:01:38		0:00:21		0:01:38		0:00:21
I16_O16_C8_W6_H6_F8_N6_D4_S0_T600		TIMEOUT		PASS		0:10:01		0:01:24		0:00:00		0:01:24
I16_O16_C16_W8_H8_F8_N6_D4_S0_T600		---		PASS		---		0:04:00		---		0:04:00
I16_O16_C32_W10_H10_F8_N6_D4_S0_T600		---		PASS		---		0:09:54		---		0:09:53
I16_O16_C64_W12_H12_F8_N6_D4_S0_T600		---		TIMEOUT		---		0:10:01		---		0:00:07

=== Task bitwuzla ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C2_W2_H2_F8_N6_D4_S0_T600		PASS		PASS		0:00:03		0:00:04		0:00:03		0:00:04
I16_O16_C4_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:01:51		0:04:22		0:01:51		0:04:22
I16_O16_C8_W6_H6_F8_N6_D4_S0_T600		TIMEOUT		TIMEOUT		0:10:01		0:10:01		0:00:00		0:00:01

=== Task abc ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C2_W2_H2_F8_N6_D4_S0_T600		PASS		PASS		0:00:00		0:00:00		0:00:00		0:00:00
I16_O16_C4_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:00:22		0:00:06		0:00:22		0:00:06
I16_O16_C8_W6_H6_F8_N6_D4_S0_T600		TIMEOUT		PASS		0:10:01		0:00:25		0:00:01		0:00:25
I16_O16_C16_W8_H8_F8_N6_D4_S0_T600		---		PASS		---		0:03:16		---		0:03:17
I16_O16_C32_W10_H10_F8_N6_D4_S0_T600		---		PASS		---		0:05:48		---		0:05:49
I16_O16_C64_W12_H12_F8_N6_D4_S0_T600		---		PASS		---		0:09:59		---		0:10:01
I16_O16_C128_W14_H14_F8_N6_D4_S0_T600		---		TIMEOUT		---		0:10:01		---		0:00:17

=== Task aiger ===
Task						Result (MI)	Result (IA)	Process (MI)	Process (IA)	Clock (MI)	Clock (IA)
I16_O16_C2_W2_H2_F8_N6_D4_S0_T600		PASS		PASS		0:00:00		0:00:00		0:00:00		0:00:00
I16_O16_C4_W4_H4_F8_N6_D4_S0_T600		PASS		PASS		0:00:00		0:00:01		0:00:01		0:00:05
I16_O16_C8_W6_H6_F8_N6_D4_S0_T600		PASS		PASS		0:00:01		0:00:03		0:00:06		0:00:15
I16_O16_C16_W8_H8_F8_N6_D4_S0_T600		PASS		PASS		0:00:03		0:00:10		0:00:12		0:01:08
I16_O16_C32_W10_H10_F8_N6_D4_S0_T600		PASS		PASS		0:00:05		0:00:26		0:00:18		0:03:00
I16_O16_C64_W12_H12_F8_N6_D4_S0_T600		PASS		PASS		0:00:09		0:01:07		0:00:40		0:09:46
I16_O16_C128_W14_H14_F8_N6_D4_S0_T600		PASS		PASS		0:00:19		0:02:12		0:02:01		0:18:38
I16_O16_C256_W16_H16_F8_N6_D4_S0_T600		PASS		PASS		0:00:23		0:04:29		0:02:15		0:38:35
I16_O16_C512_W18_H18_F8_N6_D4_S0_T600		PASS		TIMEOUT		0:00:36		0:10:01		0:04:04		0:00:36
I16_O16_C1024_W20_H20_F8_N6_D4_S0_T600		PASS		---		0:01:07		---		0:09:44		---
